params,Mean Accuracy,Std Accuracy,Mean Precision,Std Precision,Mean Recall,Std Recall,Mean F1,Std F1
"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50,)}",0.8783510685862469,0.016661518654561513,0.873020877130475,0.020695082240467063,0.8783510685862469,0.016661518654561513,0.872489913583952,0.01922601897117365
"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50)}",0.890650988106948,0.021767611700217324,0.8843471883330981,0.027498201852253802,0.890650988106948,0.021767611700217324,0.8838459947392389,0.02680023686984766
"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100,)}",0.883085934006975,0.01653663620402058,0.8815355136932099,0.020027482401052645,0.883085934006975,0.01653663620402058,0.8804867055196197,0.01863380112407466
"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (50,)}",0.884968255387642,0.017885636071034126,0.8820318212512781,0.020791666278837148,0.884968255387642,0.017885636071034126,0.8809436053640802,0.01840289071725773
"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50)}",0.890655459179111,0.018637984341817578,0.8865972169792663,0.020034469500810226,0.890655459179111,0.018637984341817578,0.8861348154799075,0.019574320452268094
"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (100,)}",0.8911204506840742,0.022940509219217253,0.8872499635630419,0.024764445545739377,0.8911204506840742,0.022940509219217253,0.8869165056424139,0.023738831298016492
"{'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (50,)}",0.8849704909237236,0.016569139079842175,0.881664591690473,0.01988198570779601,0.8849704909237236,0.016569139079842175,0.8809162550590648,0.018500833406698444
"{'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (50, 50)}",0.8901837610659035,0.015663136584920776,0.8868425881487765,0.01727564403622474,0.8901837610659035,0.015663136584920776,0.8865133063476222,0.016195774664482885
"{'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (100,)}",0.8953836179915944,0.02014605047550232,0.8931304626806554,0.020382369638088975,0.8953836179915944,0.02014605047550232,0.8911374895890358,0.021093071153079263
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,)}",0.8721876956094071,0.026762467052166054,0.8721675876806705,0.02100178502574366,0.8721876956094071,0.026762467052166054,0.8653184798205421,0.02774291571197876
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50)}",0.8878051506751319,0.02205639320463762,0.889029354010972,0.01962055142875419,0.8878051506751319,0.02205639320463762,0.8836901098941222,0.019057714049636423
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,)}",0.87363185191809,0.016719921084103338,0.8710023261058343,0.024172262115040328,0.87363185191809,0.016719921084103338,0.8655852666196218,0.023082854004835663
"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,)}",0.8759724581954753,0.01980075022115318,0.8726265762438737,0.023658587712422064,0.8759724581954753,0.01980075022115318,0.8695400830816847,0.021982445468316496
"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50)}",0.8868550478404721,0.02414910015088803,0.8849212978909167,0.027799216752023518,0.8868550478404721,0.02414910015088803,0.8802875714663483,0.027046566274103956
"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,)}",0.8679312349101315,0.02625881854759895,0.8635255052270603,0.05308146857535626,0.8679312349101315,0.02625881854759895,0.8539240436004599,0.04486874781532017
"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (50,)}",0.8755029956183492,0.018033231397575032,0.868603188417811,0.020814767736940673,0.8755029956183492,0.018033231397575032,0.8651470508806371,0.02409812387782571
"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (50, 50)}",0.892063846910489,0.02569933775572144,0.8930036447456178,0.023252566056583397,0.892063846910489,0.02569933775572144,0.8860555754459142,0.026835159636935633
"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (100,)}",0.8669923097558794,0.033719313409635424,0.8750931408395697,0.028644507554542665,0.8669923097558794,0.033719313409635424,0.8602939251521462,0.03465645253532643
